"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1028215_0001564590-18-023790_1.txt,665840,37606,0.6381960325479976,1.6699462851672606,1.5928309312343774,0.8190182417699303,0.7472211881082806,0.3217571664096155,0.35366696803701536,0.8615646439397969,369882,66579,15189,1.8425251289687816,5.407275434771047,2966
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1126115_0001607062-18-000308_1.txt,156916,12920,0.8513931888544891,1.3080495356037152,1.3080495356037152,0.6656346749226006,0.6578947368421052,0.4024767801857585,0.6346749226006192,0.6424148606811145,96154,11099,2641,1.8610681114551084,5.456578947368421,1743
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1128383_0001128383-18-000010_1.txt,62923,8033,0.5228432715050417,1.381800074691896,0.6224324660774305,0.5850865181127848,0.18672973982322918,0.3485621810033611,0.41080542761110417,0.4606000248972986,45319,1744,599,1.8274617204033363,5.420764347068343,1257
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1424404_0001062993-18-003905_1.txt,116533,15565,0.5460970125281079,1.6896884034693223,1.4969482814005781,0.8030838419530999,0.578220366206232,0.5203983295856087,0.5332476710568583,0.6039190491487312,87461,2731,851,1.8273048506264054,5.39434628975265,2002
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1527728_0001731122-18-000094_1.txt,199581,25550,0.684931506849315,0.9275929549902152,1.0136986301369864,0.735812133072407,0.34442270058708413,0.28180039138943247,0.35225048923679064,0.579256360078278,149480,6068,1792,1.8663405088062621,5.500939334637965,2546
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_1606069_0001117768-18-000916_1.txt,101673,13748,0.5309863252836776,1.4911259819610125,0.9455920861216176,0.8219377363980216,0.30549898167006106,0.2473086994471923,0.2764038405586267,0.5891766075065464,78332,2735,854,1.8484870526622055,5.412350887401804,1654
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_29644_0000029644-18-000024_1.txt,694981,30431,0.7919555716210444,1.2552988728599126,1.2125792777102298,0.9102559889586278,0.44362656501593767,0.22345634385987972,0.1905951168216621,0.5947882093917387,358905,77144,17860,1.829811705169071,5.38625086260721,2687
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-K_edgar_data_900075_0000900075-18-000048_1.txt,873420,51962,0.6523998306454717,1.7185635656826144,1.4087217582079212,0.9795619876063277,0.7197567453138832,0.33101112351333667,0.30984180747469303,0.7659443439436512,490673,80603,18451,1.8505253839344136,5.403795081020746,3482
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-Q-A_edgar_data_1549145_0001493152-18-013921_1.txt,262313,13067,0.38264329991581847,1.5229203336649575,0.7117165378434224,0.6275350118619423,0.20662738195454197,0.26019744394275657,0.24489171194612383,0.39029616591413485,137983,28572,6256,1.7895461850463,5.241983622866764,1644
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-Q_edgar_data_1275187_0001275187-18-000020_1.txt,365291,14323,0.5655239824059206,1.7454443901417303,1.2497381833414787,1.4382461774767856,0.18152621657473994,0.3351253229072122,0.1326537736507715,0.4538155414368498,183047,42274,9663,1.815331983523005,5.336940585072959,1868
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-Q_edgar_data_1399306_0001399306-18-000031_1.txt,234568,12557,0.4300390220594091,1.433463406864697,0.8202596161503545,0.7884048737755833,0.11945528390539142,0.2866926813729394,0.4061479652783308,0.4220753364657164,125101,25913,5948,1.7538424782989568,5.187066974595843,1436
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-Q_edgar_data_1602409_0001437749-18-017669_1.txt,168543,8197,0.6587776015615469,1.0247651579846286,0.9515676467000121,0.6343784311333415,0.2439917042820544,0.3415883859948762,0.3659875564230816,0.5977796754910333,88893,18128,4176,1.8333536659753569,5.3886787849213125,1441
C:/Users/51950005/Desktop/Projects/Prasanna Tone convergence project/10X_text\20181001_10-Q_edgar_data_16160_0000016160-18-000096_1.txt,233639,9774,0.43994270513607536,1.289134438305709,0.9617352158788622,1.0947411499897688,0.21485573971761818,0.3376304481276857,0.11254348270922858,0.5627174135461428,117337,26618,6059,1.7660118682218129,5.25475751995089,1560
